session;ordre;eurio_id;numista_id;strate;condition;n_captures;fond;passe;pays;annee;titre;n_fps_banque;n_gold_review
4;33;fr-2017-2eur-25th-anniversary-of-the-pink-ribbon-symbol-of-the-fight-against-breast-cancer;122799;canonique;inhand;3;table-sombre;1;FR;2017;25Th Anniversary Of The Pink Ribbon Symbol Of The Fight Against Breast Cancer;0;1
4;34;be-2012-2eur-75th-anniversary-of-queen-elisabeth-music-competition;32526;moyenne;dim;2;tissu-gris;1;BE;2012;75Th Anniversary Of Queen Elisabeth Music Competition;3;17
4;35;be-2012-2eur-75th-anniversary-of-queen-elisabeth-music-competition;32526;moyenne;glare;2;table-sombre;1;BE;2012;75Th Anniversary Of Queen Elisabeth Music Competition;3;17
4;36;be-2012-2eur-75th-anniversary-of-queen-elisabeth-music-competition;32526;moyenne;tilt;2;tissu-gris;1;BE;2012;75Th Anniversary Of Queen Elisabeth Music Competition;3;17
4;37;be-2007-2eur-standard-albert-ii-2nd-map-1st-type-1st-portrait;6292;hors_banque;dim;3;papier-blanc;1;BE;2007;Standard Albert Ii 2Nd Map 1St Type 1St Portrait;0;0
4;38;be-2007-2eur-standard-albert-ii-2nd-map-1st-type-1st-portrait;6292;hors_banque;tilt;3;bois-clair;1;BE;2007;Standard Albert Ii 2Nd Map 1St Type 1St Portrait;0;0
4;39;be-2007-2eur-standard-albert-ii-2nd-map-1st-type-1st-portrait;6292;hors_banque;inhand;3;papier-blanc;1;BE;2007;Standard Albert Ii 2Nd Map 1St Type 1St Portrait;0;0
5;1;de-2008-2eur-federal-state-of-hamburg;2994;canonique;glare;3;papier-blanc;1;DE;2008;Federal State Of Hamburg;0;0
5;2;de-2008-2eur-federal-state-of-hamburg;2994;canonique;inhand;3;bois-clair;1;DE;2008;Federal State Of Hamburg;0;0
5;3;de-2008-2eur-federal-state-of-hamburg;2994;canonique;tilt;3;papier-blanc;1;DE;2008;Federal State Of Hamburg;0;0
5;4;fr-2008-2eur-french-presidency-of-the-council-of-the-european-union;3561;riche;bright;2;table-sombre;1;FR;2008;French Presidency Of The Council Of The European Union;10;49
5;5;fr-2008-2eur-french-presidency-of-the-council-of-the-european-union;3561;riche;glare;2;tissu-gris;1;FR;2008;French Presidency Of The Council Of The European Union;10;49
5;6;fr-2008-2eur-french-presidency-of-the-council-of-the-european-union;3561;riche;tilt;2;table-sombre;1;FR;2008;French Presidency Of The Council Of The European Union;10;49
