asset_id,crop_path,raw_path,eurio_id,country,year,face_value,is_commemorative,detection_method,fill_ratio,r_pipe,r_probe,r_ratio,bimetal_inner_ring,is_light_bg,is_bimetal_coin,bucket,crop_class,n_coins_in_img,coin_frac,listing_type,dino_sim,dino_class,axis_ratio,tilt_deg,tilt_trustworthy
500b76df235f4c87aeab1c68442e433b,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/500b76df235f4c87aeab1c68442e433b.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/2dc1da7f35d04493b37d949d5186a623.jpg,at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty,AT,2005,2.0,1,yolo+hough+rimrefine,1.1088,340,,,1,1,1,bimetal_light,ok,3,0.3778,multi_tight,0.6224,suspect,0.9545,17.35,1
417ccdee42e3488e97a14e8e68306ab6,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/417ccdee42e3488e97a14e8e68306ab6.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/b7fdc3d90d824739a2c66fc4ee541c81.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+polish+rimrefine,0.9654,71,,,0,0,1,bimetal_textured,ok,6,0.1129,multi_small,0.8276,good,0.9012,25.69,1
0d0ea879daf844c3bd90dbcea5d7300c,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/0d0ea879daf844c3bd90dbcea5d7300c.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/dbfde168124748ceab36104f55c7995e.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.9717,286,,,1,0,1,bimetal_textured,ok,6,0.2683,multi_tight,0.4715,wrong,0.9962,5.00,0
47ef6642b2f24712bf0287b465ad3348,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/47ef6642b2f24712bf0287b465ad3348.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/9ba66ab789f443cb84dc62df6b10e5b8.jpg,it-2016-2eur-2200th-anniversary-of-the-death-of-plautus,IT,2016,2.0,1,yolo+hough+rimrefine,0.9687,314,,,0,0,1,bimetal_textured,ok,2,0.2617,multi_tight,0.7907,good,0.9613,16.00,1
c338133bd0d04c6a8901a37ed38bfbd6,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/c338133bd0d04c6a8901a37ed38bfbd6.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/87a14e38ff404ec6acffa82d5d6a2013.jpg,de-2007-2eur-state-of-mecklenburg-vorpommern,DE,2007,2.0,1,yolo+hough+polish+rimrefine,0.9395,183,,,0,1,1,bimetal_light,ok,1,0.1589,single_small,0.8186,good,0.9886,8.65,0
89a04e9c8df6453193eb9e5c3f64bafa,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/40baaa911e914504a15eed52708e12ad/89a04e9c8df6453193eb9e5c3f64bafa.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/40baaa911e914504a15eed52708e12ad/3cbb42bbb31f438d85d353220b760226.jpg,ad-2014-2eur-20th-anniversary-of-andorras-membership-in-the-council-of-europe,AD,2014,2.0,1,yolo+hough+rimrefine,0.9603,107,,,1,1,1,bimetal_light,ok,2,0.1005,multi_small,0.4747,wrong,0.9782,11.99,0
43273d726cc945d7aeb9bcb461ddfcc7,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/43273d726cc945d7aeb9bcb461ddfcc7.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/04e06f856f5649d4aa53b4b536d99200.jpg,it-2016-2eur-550th-anniversary-of-the-death-of-donatello,IT,2016,2.0,1,yolo+hough+rimrefine,0.9699,215,218.69866943359375,0.9831,0,1,1,bimetal_light,ok,1,0.179,single_small,0.8075,good,0.9655,15.10,1
2507b8f0aaf04638a72294744c8c3863,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/2507b8f0aaf04638a72294744c8c3863.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/50345b935b6e4ab2bfeaf88925ff841f.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.9721,279,279.3817443847656,0.9986,0,1,1,bimetal_light,ok,1,0.2801,single_tight,0.8172,good,0.9785,11.90,0
60ab471273304d729d5a4458510f5ad7,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/60ab471273304d729d5a4458510f5ad7.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/8e2f5456755f40c8b493fc102534c42a.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+rimrefine,0.9619,145,146.5444793701172,0.9895,0,1,1,bimetal_light,ok,5,0.1113,multi_small,0.7218,good,0.9573,16.80,1
8e2d044697ff426e8bf19e7d7b001e2e,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/8e2d044697ff426e8bf19e7d7b001e2e.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/10bd6b1306ef42b1ac0784de342652d3.jpg,fi-2017-2eur-100-years-of-independence,FI,2017,2.0,1,yolo+hough+rimrefine,0.9696,124,,,0,0,1,bimetal_textured,ok,23,0.0901,multi_small,0.8553,good,0.9897,8.22,0
15ea51fd49f84a98a9b3bdd83aa3cffc,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/15ea51fd49f84a98a9b3bdd83aa3cffc.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/9c20ec4675da48c19e447e32cdb56db9.jpg,it-2016-2eur-2200th-anniversary-of-the-death-of-plautus,IT,2016,2.0,1,yolo+hough+rimrefine,0.975,197,,,0,0,1,bimetal_textured,ok,1,0.1642,single_small,0.7609,good,0.9779,12.06,0
5ef1b79bdee042fc980e39650b6a28c5,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/5ef1b79bdee042fc980e39650b6a28c5.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/56d541dfb2364f0ca4cc7a9b183b7531.jpg,be-2011-2eur-100th-international-womens-day,BE,2011,2.0,1,yolo+hough+rimrefine,0.9776,89,90.34636688232422,0.9851,0,1,1,bimetal_light,ok,2,0.1506,multi_small,0.8488,good,0.9746,12.95,0
14b77918f38f4541b17ea7482f41bf9a,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/14b77918f38f4541b17ea7482f41bf9a.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/5ea8cdd9d20d4ae7a2c0e635b090c998.jpg,de-2020-2eur-german-polish-reconciliation,DE,2020,2.0,1,yolo+hough+polish+rimrefine,0.9707,125,,,0,1,1,bimetal_light,ok,2,0.1042,multi_small,0.7001,good,0.9473,18.68,1
9cbdfc4d3269442e8d74957597bb26cc,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/9cbdfc4d3269442e8d74957597bb26cc.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/0a608c6e218e4ed3b9cd8f46e2cbc214.jpg,at-2005-2eur-50th-anniversary-of-the-austrian-state-treaty,AT,2005,2.0,1,yolo+hough+rimrefine,0.9651,43,44.45018005371094,0.9674,0,1,1,bimetal_light,ok,7,0.0962,multi_small,0.7865,good,0.8061,36.28,1
3ed7644bf13642bd8e3f1f5265d9b96d,/Users/musubi42/.cache/eurio/enrichment-crops/ebay/059dc8d90dad42558e3c6319a722fd35/3ed7644bf13642bd8e3f1f5265d9b96d.png,/Users/musubi42/.cache/eurio/enrichment-raws/ebay/059dc8d90dad42558e3c6319a722fd35/5f19058dd61441e08081124da98dc851.jpg,de-2010-2eur-state-of-bremen,DE,2010,2.0,1,yolo+hough+rimrefine,0.9762,91,101.08881378173828,0.9002,0,0,1,bimetal_textured,ok,9,0.122,multi_small,0.446,wrong,0.9799,11.50,0
